userId,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,class
PabloScordo1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.04,0,0,0.8,0,0.04,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
nextto16,0,0,0.32,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.45,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,NN
Faklasher,0,0,0.39,0.01,0.07,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.08,0.17,0.11,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,NN
Seandonovan94,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
JLee_Hadley,0,0,0.24,0,0.18,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,N
ceeyoutea,0,0,0.21,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.39,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,NN
MCNtweets,0,0,0,0,0.16,0,0,0.02,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
skkelley_17,0,0,0.89,0,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
abcdefgayy,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,NN
demihomo,0,0,0.11,0.03,0.25,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.35,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,NN
LuciDeacon,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN
Tony_Jorden,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,NN
tasha_amy92,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.04,0,0.87,0.02,0,0,0,0,0,0,0,0,0,0,0,NN
