class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
26,15,0,0,0,0,0,0.08,0.01,0,0,0,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.08,0.71,0,0.02,0,0,0,0,0,0,0,0,0,0,0
3,16,0,0,0.23,0.41,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0
16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18,0,0,0,0,0,0.03,0,0.35,0,0.02,0,0,0.02,0,0,0,0,0.3,0,0,0,0,0,0,0.03,0.11,0,0.03,0.07,0.02,0,0,0,0,0,0,0,0,0,0
3,19,0,0,0.18,0.67,0,0,0,0,0,0.08,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,0,0,0.32,0,0.29,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
19,21,0,0,0.06,0,0.15,0.01,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,23,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,24,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
7,25,0,0,0,0.02,0,0,0,0.46,0.07,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,26,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27,0,0,0.01,0,0.21,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.17,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0
2,28,0,0,0.75,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,29,0,0,0.02,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
15,30,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,0,0,0.41,0,0.09,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,32,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,33,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.08,0,0,0,0.1,0,0.07,0.02,0,0.62,0,0,0,0,0,0,0,0,0,0,0
