class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
22,62,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0.07,0,0,0.03,0.01,0,0,0.03,0,0.6,0,0.12,0,0,0.06,0,0
25,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
19,64,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.29,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
4,65,0,0,0.09,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.06,0,0.05,0.16,0,0
2,66,0,0,0.52,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
19,67,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.78,0.03,0,0,0,0,0,0.02,0,0,0
15,68,0,0,0.03,0.2,0,0.04,0,0,0.11,0,0.07,0,0,0,0,0.42,0.01,0,0,0.1,0,0,0,0,0,0.01,0,0,0,0
27,69,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0
11,70,0,0,0,0.04,0,0,0,0.01,0.02,0,0.02,0.52,0,0,0,0.07,0,0,0,0,0.01,0.02,0,0,0.2,0,0,0.05,0.02,0
21,71,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0
0,72,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
16,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.91,0,0,0,0,0,0.02,0,0,0.01,0,0.01,0,0
8,74,0,0.03,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.18,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
19,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0
8,76,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0.21,0.13,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.01
19,77,0,0,0,0.17,0,0,0,0,0.13,0,0,0,0,0,0,0.27,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0
15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0
15,79,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0
24,80,0,0.02,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.55,0,0.01,0,0.01,0
28,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.08,0,0,0,0,0.09,0,0,0,0,0.69,0
8,82,0,0,0.18,0,0,0,0,0,0.67,0,0,0,0,0,0,0.04,0,0,0,0.08,0.02,0,0,0,0,0,0,0,0,0
3,83,0,0,0,0.45,0.07,0,0,0,0,0,0,0,0,0.02,0,0.03,0.06,0,0,0,0.03,0,0,0,0.21,0.03,0.07,0,0,0
10,84,0,0,0,0.08,0.02,0,0,0,0,0,0.48,0,0,0,0,0,0.11,0.08,0.02,0,0,0.01,0,0,0.17,0,0,0,0,0
27,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0.09,0.02,0,0.85,0,0
21,86,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
21,87,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0
