class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,27,0.05,0.58,0,0.07,0,0,0.03,0.05,0,0.18,0.02,0,0,0,0,0,0,0,0,0
0,28,0.79,0,0.12,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0
0,29,0.77,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0
8,30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01
0,31,0.7,0.02,0,0.04,0,0,0,0,0.04,0.09,0.05,0.02,0.04,0,0,0,0,0,0,0
0,32,0.82,0,0,0.01,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0
11,33,0,0.06,0,0,0,0,0.11,0.13,0.07,0,0,0.63,0,0,0,0,0,0,0,0
10,34,0,0.02,0.04,0.06,0.06,0,0,0.1,0,0,0.59,0,0,0.06,0,0,0,0.04,0.01,0
9,35,0,0.17,0,0.12,0,0,0.05,0.14,0.12,0.29,0.01,0.04,0.05,0,0,0,0,0,0,0
3,36,0,0.03,0,0.3,0,0,0.02,0.14,0,0.02,0.17,0.13,0,0.19,0,0,0,0,0,0
11,37,0.23,0,0.03,0,0,0,0,0,0.25,0.19,0.04,0.26,0,0,0,0,0,0,0,0
7,38,0,0,0,0.03,0,0,0,0.64,0.12,0.02,0.06,0,0.01,0.02,0,0.02,0,0.05,0,0
10,39,0.36,0,0.04,0.02,0,0,0,0,0,0,0.54,0.02,0,0,0,0,0,0,0,0
10,40,0,0,0,0.13,0,0,0,0.07,0,0,0.41,0.13,0,0.25,0,0,0,0,0,0
10,41,0.28,0,0,0,0,0,0,0,0.08,0.22,0.41,0,0,0,0,0,0,0,0,0
8,42,0,0.07,0,0,0,0,0.02,0.15,0.28,0.15,0.17,0.05,0,0.07,0,0,0.02,0,0,0
13,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
18,44,0,0.07,0,0,0,0,0.08,0.13,0,0,0,0,0,0,0,0,0,0,0.71,0
0,45,0.46,0,0.28,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
0,46,0.48,0.02,0.04,0.04,0,0,0,0.13,0,0.03,0.12,0.03,0,0.1,0,0,0,0,0,0
17,47,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.97,0,0
0,48,0.69,0,0,0,0,0,0,0,0.09,0.16,0,0.02,0.02,0,0,0,0,0,0,0
10,49,0.34,0.01,0.03,0.02,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0
10,50,0,0.03,0,0.15,0,0.01,0,0.12,0.07,0.17,0.39,0.02,0,0,0,0,0,0,0,0
0,51,0.82,0,0,0,0,0,0,0,0.03,0.03,0.07,0.05,0,0,0,0,0,0,0,0
0,52,0.96,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
10,53,0.14,0.09,0.07,0,0,0,0.01,0,0,0.03,0.61,0.06,0,0,0,0,0,0,0,0
0,54,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55,0.98,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
10,56,0.33,0,0,0,0,0,0,0,0,0.01,0.59,0,0,0.05,0,0,0,0,0,0
0,57,0.29,0,0.03,0,0,0,0,0,0.14,0,0.26,0.16,0,0.01,0,0,0,0.1,0,0
10,58,0.11,0,0,0.02,0,0,0,0.03,0,0,0.84,0,0,0,0,0,0,0,0,0
8,59,0.24,0,0.03,0.01,0,0,0,0,0.64,0,0.06,0,0,0,0,0,0,0,0,0
