class,id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
5,233,0.03,0.02,0,0,0,0.82,0.08,0.03,0.01,0
5,234,0.04,0.01,0.13,0.02,0.04,0.53,0,0.04,0.18,0
4,235,0.19,0.01,0,0.19,0.52,0,0,0.08,0.01,0
1,236,0.04,0.39,0,0.03,0.15,0.26,0,0.09,0.02,0
4,237,0,0,0,0.24,0.61,0.13,0.01,0,0,0
6,238,0.15,0.07,0,0.03,0,0,0.47,0,0.04,0.25
7,239,0,0,0,0,0.03,0.05,0,0.9,0,0
9,240,0,0,0,0,0,0,0,0,0,1.0
4,241,0.13,0.05,0,0.25,0.39,0.15,0.02,0,0,0
5,242,0,0.14,0,0,0.07,0.6,0.16,0,0,0
7,243,0.11,0,0,0,0,0.32,0.05,0.49,0.02,0
6,244,0,0.15,0,0,0,0,0.85,0,0,0
2,245,0,0,1.0,0,0,0,0,0,0,0
8,246,0.02,0.01,0,0,0.35,0.04,0,0,0.55,0.01
5,247,0,0,0,0,0.07,0.56,0.02,0.35,0,0
0,248,0.54,0,0,0.03,0.11,0.1,0,0.22,0,0
8,249,0,0,0,0,0,0.41,0,0.1,0.49,0
0,250,0.46,0,0,0.35,0.15,0,0,0,0.04,0
5,251,0,0,0,0,0.01,0.86,0,0.11,0,0
2,252,0,0,1.0,0,0,0,0,0,0,0
5,253,0,0,0,0,0.07,0.65,0,0.08,0.02,0.18
6,254,0,0.03,0,0,0.18,0,0.79,0,0,0
8,255,0.02,0.03,0,0.13,0,0.03,0,0.02,0.76,0
7,256,0,0,0,0,0.13,0.29,0.14,0.4,0.04,0
5,257,0.35,0.02,0,0.01,0.03,0.44,0.1,0.04,0,0
5,258,0,0,0,0,0,0.92,0,0.07,0,0
9,259,0,0.21,0,0.08,0.09,0.06,0,0,0,0.57
5,260,0,0,0,0.02,0,0.68,0.02,0.27,0,0
5,261,0.07,0,0,0,0.1,0.63,0.02,0.18,0,0
8,262,0,0.17,0,0.05,0,0,0,0,0.74,0.03
0,263,0.3,0.05,0,0,0.29,0.23,0.08,0.03,0.01,0
9,264,0,0.05,0,0.1,0,0,0.03,0,0,0.82
8,265,0,0.04,0,0,0,0,0,0,0.96,0
4,266,0,0.01,0,0,0.26,0.26,0.15,0.05,0.25,0
5,267,0.09,0.02,0,0,0.09,0.77,0,0.04,0,0
4,268,0.04,0.01,0,0,0.76,0.18,0,0,0,0
6,269,0.04,0,0,0.01,0,0,0.95,0,0,0
4,270,0.02,0.1,0,0,0.56,0.1,0.04,0.14,0.03,0
9,271,0.09,0,0,0.02,0.21,0.11,0.09,0.02,0.01,0.45
4,272,0,0,0,0,0.4,0.37,0.02,0.2,0,0
5,273,0,0.05,0,0,0.03,0.86,0,0.03,0.03,0
1,274,0.42,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,275,0,0,0,0,0,0.75,0,0.04,0.16,0.05
5,276,0,0,0,0,0.01,0.65,0.04,0.29,0,0
2,277,0,0.08,0.78,0,0.14,0,0,0,0,0
7,278,0.03,0,0,0.01,0.15,0,0,0.7,0.1,0
5,279,0,0,0,0,0,0.65,0,0.33,0,0
5,280,0.07,0,0,0,0.01,0.79,0,0.12,0,0
5,281,0,0,0,0,0.04,0.68,0.03,0.04,0.22,0
0,282,0.58,0,0,0,0.11,0.1,0,0.2,0,0
0,283,0.43,0,0,0.01,0.22,0.24,0.09,0.01,0,0
5,284,0.17,0,0,0,0.03,0.32,0.17,0.18,0.11,0
0,285,0.42,0,0,0,0,0.37,0,0.2,0,0
7,286,0,0,0,0,0,0.35,0,0.65,0,0
5,287,0,0.02,0,0,0.01,0.7,0,0.09,0.07,0.1
6,288,0,0,0,0,0.2,0,0.72,0,0.08,0
9,289,0,0,0,0,0,0,0,0,0,1.0
9,290,0,0,0,0,0,0,0,0,0,1.0
5,291,0,0,0,0,0.06,0.72,0,0.04,0.13,0.06
3,292,0,0,0,0.8,0.04,0,0.15,0,0,0
5,293,0.03,0.03,0.03,0.03,0.03,0.48,0.32,0.03,0.03,0.03
5,294,0.01,0,0,0.29,0.12,0.54,0,0.04,0,0
4,295,0,0,0,0,0.9,0.04,0,0,0.05,0
4,296,0.23,0.01,0,0.03,0.29,0.15,0.02,0,0.01,0.27
4,297,0,0.03,0,0,0.97,0,0,0,0,0
7,298,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
4,299,0.06,0,0,0.03,0.48,0.26,0,0.17,0,0
6,300,0.07,0,0,0,0,0,0.9,0,0.03,0
6,301,0,0,0,0,0.23,0,0.74,0,0.03,0
8,302,0,0,0,0,0,0,0,0.07,0.92,0
9,303,0,0,0,0,0,0,0.18,0,0.17,0.61
7,304,0,0,0,0,0,0,0,0.99,0,0
6,305,0.02,0,0,0.04,0.04,0.39,0.47,0.04,0,0
0,306,0.51,0,0,0.01,0.11,0.19,0.14,0,0.02,0
5,307,0,0,0,0,0.02,0.78,0,0.03,0.17,0
8,308,0,0,0,0.23,0,0,0,0,0.74,0.02
8,309,0,0,0,0,0,0.18,0,0,0.54,0.27
0,310,0.57,0,0,0,0,0.03,0,0.38,0,0
5,311,0,0,0,0.07,0.17,0.65,0.05,0.05,0,0
0,312,0.57,0,0,0,0,0,0,0,0,0.42
5,313,0,0,0,0,0,0.89,0,0.11,0,0
5,314,0.06,0,0,0.12,0,0.57,0,0.23,0,0
