class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20NN,1,0.12,0,0,0.05,0,0,0,0,0.02,0.7,0.08,0,0,0.01,0,0,0,0,0,0
NN,83,0.04,0.17,0,0.01,0,0,0,0,0,0.19,0.44,0.04,0,0,0,0,0,0.09,0,0
NN,84,0,0.13,0.04,0.06,0,0,0.02,0.6,0,0.08,0.06,0,0,0,0,0,0,0,0,0
NN,85,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0.03,0.89,0,0,0,0.02,0,0
NN,86,0,0,0,0,0.01,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0
NN,87,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,88,0,0,0,0,0,0,0,0,0,0.97,0.02,0,0,0,0,0,0,0,0,0
NN,89,0.3,0,0.22,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0
N,90,0.35,0,0.31,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
N,91,0.32,0,0,0.01,0,0,0,0,0.04,0.55,0.06,0,0,0,0,0,0,0,0,0
NN,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0
NN,93,0.04,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0.92,0
NN,94,0.14,0,0,0,0,0,0,0,0,0.04,0.26,0,0,0.56,0,0,0,0,0,0
NN,95,0,0.01,0,0.14,0,0,0,0.28,0.18,0.06,0.17,0.09,0,0.01,0,0,0,0.02,0,0
N,96,0.73,0,0,0,0,0,0,0,0,0.02,0.18,0.01,0,0,0,0.03,0,0.02,0,0
N,97,0.93,0,0,0.02,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
N,98,0.33,0.1,0,0.03,0,0,0.02,0,0,0.05,0.44,0.01,0,0,0,0,0,0,0,0
N,99,0.56,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0.01,0,0,0
NN,100,0,0.25,0.66,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.03,0,0
N,101,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,102,0.51,0,0,0,0,0,0,0,0.08,0.07,0.33,0,0,0,0,0,0,0,0,0
NN,103,0,0,0,0,0,0,0,0,0.01,0.97,0,0,0,0,0,0,0,0,0,0
NN,104,0,0.18,0,0.12,0,0.07,0,0,0,0,0,0.49,0,0,0.13,0,0,0,0,0
NN,105,0,0,0.18,0,0,0.77,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0
NN,106,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.96,0
N,107,0.76,0.03,0,0,0,0.02,0,0,0,0.12,0,0.05,0.02,0,0,0,0,0,0,0
NN,108,0.02,0,0,0,0,0,0,0,0.03,0.03,0.88,0.03,0,0,0,0,0,0,0,0
N,109,0.73,0.01,0,0,0,0,0,0.02,0.03,0.04,0.14,0.01,0,0,0,0,0,0,0,0
N,110,0.87,0,0.01,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0
NN,111,0.23,0.05,0.07,0,0,0,0,0.01,0.04,0.02,0.5,0.06,0,0,0,0,0,0,0,0
NN,112,0,0,0,0.39,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
NN,113,0,0.15,0,0.76,0,0,0,0.02,0,0,0,0.03,0.01,0,0,0,0,0,0,0
NN,114,0,0.03,0,0.61,0,0,0.02,0.12,0,0,0.18,0.01,0,0,0,0,0,0,0,0
NN,115,0,0,0,0,0,0,0,0.98,0,0,0,0.02,0,0,0,0,0,0,0,0
