class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
N,67,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.78,0.03,0,0,0,0,0,0.02,0,0,0
NN,68,0,0,0.03,0.2,0,0.04,0,0,0.11,0,0.07,0,0,0,0,0.42,0.01,0,0,0.1,0,0,0,0,0,0.01,0,0,0,0
NN,69,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0
NN,70,0,0,0,0.04,0,0,0,0.01,0.02,0,0.02,0.52,0,0,0,0.07,0,0,0,0,0.01,0.02,0,0,0.2,0,0,0.05,0.02,0
NN,71,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0
NN,72,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
NN,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.91,0,0,0,0,0,0.02,0,0,0.01,0,0.01,0,0
N,74,0,0.03,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.18,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
N,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0
NN,76,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0.21,0.13,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.01
N,77,0,0,0,0.17,0,0,0,0,0.13,0,0,0,0,0,0,0.27,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0
N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0
NN,79,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0
NN,80,0,0.02,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.55,0,0.01,0,0.01,0
NN,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.08,0,0,0,0,0.09,0,0,0,0,0.69,0
NN,82,0,0,0.18,0,0,0,0,0,0.67,0,0,0,0,0,0,0.04,0,0,0,0.08,0.02,0,0,0,0,0,0,0,0,0
NN,83,0,0,0,0.45,0.07,0,0,0,0,0,0,0,0,0.02,0,0.03,0.06,0,0,0,0.03,0,0,0,0.21,0.03,0.07,0,0,0
NN,84,0,0,0,0.08,0.02,0,0,0,0,0,0.48,0,0,0,0,0,0.11,0.08,0.02,0,0,0.01,0,0,0.17,0,0,0,0,0
NN,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0.09,0.02,0,0.85,0,0
NN,86,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
NN,87,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0
NN,88,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0.05,0,0,0,0,0
NN,89,0,0,0,0.01,0,0,0,0.59,0.06,0,0,0,0,0,0.02,0.3,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
NN,90,0,0,0.01,0,0,0,0,0,0.15,0,0,0,0,0,0,0.29,0,0,0,0.07,0,0.46,0,0,0,0,0,0,0,0
NN,91,0,0,0,0.16,0.03,0,0,0,0.05,0,0.01,0,0,0,0,0.09,0,0,0,0.16,0.49,0,0,0,0,0,0,0,0,0
NN,92,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0
NN,93,0,0,0,0,0,0,0.04,0.02,0,0,0,0.81,0,0,0,0,0,0,0,0.06,0,0,0,0,0.05,0,0,0,0,0
NN,94,0,0,0.07,0.03,0.25,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.03,0.03,0,0,0,0.05,0,0,0.46,0,0
NN,95,0,0,0.03,0,0.01,0.03,0,0,0.03,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.64,0.02,0.02,0,0,0
N,96,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0.29,0,0,0,0,0.13,0,0,0,0,0
NN,97,0,0,0,0.1,0,0,0,0,0.02,0,0,0,0,0,0,0.65,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0
NN,98,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0.13,0.07,0,0,0.06,0.02,0,0,0,0.08,0,0.17,0,0,0
N,99,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.61,0.3,0,0,0,0,0,0.03,0,0,0
NN,100,0,0,0,0,0.03,0,0,0.05,0.17,0,0.02,0,0,0,0.63,0.04,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0,0
NN,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,102,0,0,0.02,0.14,0.04,0,0,0,0.08,0,0,0,0,0,0,0.52,0,0,0,0.02,0.08,0,0,0,0.01,0,0.07,0,0,0
NN,103,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0.03,0,0,0.01,0,0
NN,104,0,0,0,0,0,0.11,0,0.27,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.36,0,0,0,0,0,0,0
NN,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,0,0,0
NN,106,0,0,0,0,0,0,0.02,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.05,0,0,0
N,107,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.17,0.03,0,0,0.59,0.06,0,0.07,0,0,0,0.06,0,0,0
NN,108,0,0,0.5,0.18,0.16,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.08,0,0.04,0,0,0
NN,109,0,0,0.01,0.09,0,0,0,0,0.01,0,0,0,0,0,0,0.66,0.02,0,0,0.06,0.03,0,0,0,0.05,0,0.05,0,0,0
NN,110,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.89,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
NN,111,0,0,0.05,0.09,0.06,0,0,0.03,0.21,0,0,0,0,0,0,0.12,0.04,0,0,0.04,0.03,0.03,0.01,0.01,0.05,0,0.23,0,0,0
NN,112,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,113,0,0,0.13,0,0,0.37,0,0,0,0.02,0.03,0,0,0.01,0,0,0.39,0,0,0,0,0,0,0,0.04,0,0,0,0,0
NN,114,0,0,0,0.09,0,0.01,0,0,0,0,0.24,0,0,0,0,0.05,0.18,0,0,0,0,0,0,0,0.41,0,0,0,0,0
NN,115,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,116,0,0,0.05,0,0.67,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.15,0.02,0.1,0,0,0,0,0
NN,117,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.95,0,0
NN,118,0,0,0.3,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0,0.01,0,0,0,0
NN,119,0,0.02,0.03,0,0.06,0,0,0,0,0.02,0.06,0,0,0.11,0,0,0.22,0,0.05,0,0.05,0,0.15,0,0.07,0.04,0,0.06,0.03,0
NN,120,0,0.01,0.01,0.23,0,0,0,0,0.18,0,0.02,0.33,0,0,0,0.03,0,0,0,0,0,0,0,0,0.14,0,0,0.03,0,0
NN,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
NN,122,0,0,0.01,0.08,0,0,0,0.04,0.02,0,0.01,0,0,0,0,0.33,0.03,0,0,0,0,0.31,0,0,0,0,0.02,0.13,0,0
NN,123,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,124,0,0,0,0.04,0.05,0,0,0,0.13,0,0,0,0.01,0,0,0,0.01,0,0,0.13,0.5,0,0,0,0.04,0,0.07,0,0,0
NN,125,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,126,0,0,0.59,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,127,0,0,0.08,0.12,0,0,0,0,0.35,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,128,0,0,0.07,0.04,0.69,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0.14,0,0
NN,129,0,0,0,0,0,0.06,0,0,0,0,0,0.7,0,0.04,0,0,0.12,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0
NN,130,0,0,0,0.62,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0.14,0,0,0.01,0,0,0,0,0.18,0,0,0,0,0
N,131,0,0,0.01,0.02,0.01,0,0,0,0.07,0,0.03,0,0,0,0,0.17,0,0,0,0.62,0.04,0,0,0,0,0,0.01,0,0,0
N,132,0,0,0,0.19,0.14,0.01,0,0.03,0,0,0.02,0,0,0.03,0,0,0.06,0,0,0.34,0.04,0,0,0,0.04,0.1,0,0,0,0
NN,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
NN,134,0,0,0.08,0,0,0,0,0.16,0.57,0,0,0.06,0,0,0,0.07,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
N,135,0,0,0,0,0,0.02,0,0,0,0,0.04,0,0,0,0,0.25,0,0,0,0.53,0.13,0,0,0,0,0,0,0,0,0
NN,136,0,0,0.21,0.12,0.21,0,0,0,0.02,0,0,0,0,0,0,0.33,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0
NN,137,0,0,0.23,0,0.06,0,0,0,0.28,0.03,0,0,0,0,0,0.09,0,0,0,0.03,0.04,0,0,0,0,0.05,0.03,0.14,0,0
NN,138,0,0.04,0,0,0,0,0.03,0.03,0.08,0,0,0.66,0,0,0,0.09,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
NN,139,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0.22,0,0,0,0,0.23,0,0,0,0.18,0,0,0.29,0,0
NN,140,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,141,0,0,0,0.62,0.01,0,0,0.03,0.01,0,0,0,0,0,0,0.16,0.05,0,0,0.02,0,0,0,0,0.03,0,0.05,0,0,0
NN,142,0,0,0,0.06,0,0,0,0,0.05,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.18,0,0,0,0,0.02,0,0,0,0
NN,144,0,0,0,0.29,0,0,0.03,0,0,0,0.03,0,0,0,0,0.36,0.09,0,0,0,0,0,0,0,0.04,0,0.11,0,0.04,0
NN,145,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.01,0,0
NN,146,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0.07,0.23,0,0,0,0,0,0,0,0,0
NN,147,0,0.29,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
NN,148,0,0,0.14,0.21,0,0,0,0.01,0.05,0,0,0,0,0.09,0,0.05,0.01,0,0,0,0,0,0,0,0.34,0,0.07,0,0,0
NN,149,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.1,0.01,0,0.03,0.04,0,0,0,0,0,0,0.37,0.07,0,0,0,0
NN,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,0,0,0.02,0,0.36,0,0,0,0,0,0,0,0
NN,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,152,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.01,0,0.85,0,0,0,0,0,0,0.03,0,0
NN,153,0,0,0.47,0,0.09,0,0,0,0.26,0.01,0,0,0,0,0,0.04,0,0,0,0,0.04,0,0.03,0,0,0.02,0,0.02,0,0
NN,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
N,155,0,0,0,0.07,0.06,0,0,0.02,0.01,0,0,0.06,0,0,0,0.04,0,0.03,0,0.6,0.1,0,0,0,0,0,0,0,0,0
NN,156,0,0,0,0.12,0,0,0,0,0.03,0.01,0,0,0,0.05,0,0,0.38,0.03,0.04,0,0,0,0.06,0,0.22,0.04,0,0,0,0
NN,157,0,0,0,0.3,0.21,0,0,0,0,0,0,0,0,0,0,0.36,0.01,0,0,0.03,0.03,0,0,0,0,0.02,0,0,0,0
NN,158,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN,159,0,0,0,0.57,0,0,0,0,0.13,0,0,0,0,0,0,0.18,0.03,0,0,0.02,0,0,0,0,0.01,0,0.05,0,0,0
N,160,0,0,0,0.02,0,0,0,0,0.03,0,0,0,0,0,0,0.68,0,0,0,0.22,0.03,0,0,0,0,0,0,0.01,0,0
NN,161,0,0,0,0.6,0.02,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.17,0,0,0,0,0,0,0.04,0,0,0
NN,162,0,0.06,0,0,0,0,0,0.48,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.02,0,0,0,0
N,163,0,0,0.01,0.07,0.04,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.64,0,0,0,0,0,0,0.02,0,0,0
NN,164,0,0.01,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,165,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.27,0.02,0,0,0,0,0,0.42,0,0,0
NN,166,0,0,0.11,0,0,0.05,0,0,0.02,0,0,0,0,0,0,0.38,0,0,0,0.07,0.32,0,0,0,0.01,0,0.03,0,0,0
NN,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
NN,168,0,0,0,0.02,0.03,0,0,0,0,0.09,0,0,0,0,0,0.12,0,0,0,0.1,0.61,0,0,0,0,0,0,0,0,0
NN,169,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
N,170,0,0,0,0.05,0,0.02,0,0,0.12,0,0,0,0,0,0,0.14,0,0,0,0.51,0.02,0,0,0,0.08,0,0.04,0,0,0
NN,171,0,0.04,0.01,0.18,0.03,0.03,0,0,0.01,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0.47,0,0.11,0,0.03,0
N,172,0,0,0,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0.49,0.03,0,0,0,0,0,0.06,0,0,0
