running, 2492
yall, 2488
yea, 2484
rest, 2484
ball, 2483
always, 2479
three, 2477
shut, 2476
takes, 2475
nah, 2474
c'est, 2474
ser, 2473
bored, 2471
united, 2465
exactly, 2465
number, 2456
cuz, 2456
monday, 2455
weather, 2452
truth, 2452
sucks, 2447
drake, 2444
giving, 2442
let, 2435
couple, 2432
down, 2431
social, 2429
brother, 2427
dat, 2422
checked, 2421
luck, 2420
congrats, 2416
strong, 2414
later, 2412
crying, 2408
episode, 2406
over, 2405
on, 2404
seems, 2402
question, 2402
giveaway, 2392
enjoy, 2389
cat, 2384
everyday, 2383
rather, 2377
behind, 2376
holy, 2374
listening, 2372
asked, 2366
ice, 2354
annoying, 2353
wearing, 2351
hand, 2349
gave, 2349
ones, 2348
couldn't, 2344
lmfao, 2339
stand, 2338
kamu, 2337
ugly, 2326
save, 2311
others, 2311
harry, 2301
bien, 2298
country, 2297
catch, 2293
boyfriend, 2293
do, 2289
hello, 2288
pick, 2286
better, 2286
lie, 2279
able, 2272
type, 2267
nada, 2265
gift, 2263
hoy, 2261
missed, 2258
wit, 2257
mais, 2256
media, 2255
starting, 2247
light, 2245
film, 2241
laugh, 2227
is, 2227
go, 2227
bet, 2227
special, 2224
pls, 2220
cut, 2219
kita, 2216
tengo, 2215
months, 2215
justin, 2215
rip, 2209
become, 2205
gente, 2203
missing, 2202
respect, 2201
front, 2200
whatever, 2199
fuckin, 2198
plan, 2196
absolutely, 2188
jesus, 2184
share, 2176
automatically, 2175
forward, 2173
being, 2169
:), 2167
joke, 2154
death, 2154
won, 2146
tbh, 2146
nowplaying:, 2145
radio, 2141
cannot, 2121
happens, 2120
pic, 2116
history, 2111
van, 2110
gym, 2110
had, 2109
sister, 2108
fat, 2105
course, 2102
writing, 2101
forgot, 2101
dinner, 2101
broke, 2098
mate, 2093
walking, 2087
foto, 2085
sign, 2084
join, 2084
tried, 2078
lagi, 2077
hungry, 2075
plus, 2073
me?, 2070
us, 2066
nak, 2065
rain, 2063
sound, 2061
orang, 2061
dumb, 2061
gay, 2058
does, 2053
loved, 2052
fake, 2050
card, 2046
pictures, 2045
test, 2043
short, 2042
small, 2040
bye, 2038
online, 2037
lord, 2023
snow, 2022
because, 2019
league, 2018
tryna, 2016
movies, 2007
road, 2003
keep, 2000
amor, 2000
ini, 1992
added, 1992
spend, 1991
here's, 1988
serious, 1986
reading, 1986
playlist, 1985
dance, 1985
using, 1981
list, 1981
estoy, 1981
air, 1975
order, 1974
you?, 1973
suck, 1973
iphone, 1972
sleeping, 1970
hands, 1968
apa, 1967
starts, 1966
deep, 1965
internet, 1963
beer, 1960
cup, 1954
drop, 1953
blue, 1953
shows, 1950
rock, 1950
watched, 1943
biggest, 1941
pain, 1940
woke, 1927
group, 1927
bruh, 1924
dick, 1915
com, 1915
gue, 1913
sense, 1912
inside, 1908
daily, 1908
follower, 1907
park, 1900
lady, 1898
say, 1888
