id,class,userId,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
66,NN,wtvmollie,0.79,0,0.01,0,0,0.01,0.12,0.05,0.02,0,cluster0
67,NN,PureSoccerTV,0,0.91,0,0,0,0,0.09,0,0,0,cluster0
68,NN,EServanF,0.17,0.22,0,0.02,0.39,0.01,0.16,0,0,0.02,cluster1
69,NN,hidayahaha,0.27,0,0,0.73,0,0,0,0,0,0,cluster4
70,N,Ank_yuma1209,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
71,NN,CiscoEngineers,0,0.16,0,0.02,0,0,0.64,0,0.17,0,cluster0
72,NN,ontarioweeds,0.58,0,0.04,0,0,0,0,0.3,0,0.08,cluster3
73,N,kina_yanae15,0.54,0,0,0,0,0,0,0.46,0,0,cluster3
74,NN,wssx_,0.49,0,0.02,0,0.02,0.01,0.07,0.03,0,0.36,cluster4
75,NN,opalitetears,0.75,0,0,0,0,0,0,0.23,0,0,cluster3
76,NN,jaileneeeeee_,0.77,0,0,0,0,0,0,0.23,0,0,cluster3
77,NN,WhitneyEricksen,1,0,0,0,0,0,0,0,0,0,cluster3
78,NN,nmpanek,0.13,0.2,0.02,0,0,0,0.25,0,0.39,0,cluster0
79,NN,samacharsar,0,0,0,0,0,0,0.85,0.14,0,0,cluster0
80,NN,bxndhearts,0.59,0.02,0.28,0,0,0,0,0.1,0,0.01,cluster4
81,NN,Jag3Dagster,0.46,0.37,0,0,0,0.03,0.1,0,0.03,0,cluster0
82,NN,NotMyMoney_,0.07,0.11,0,0.01,0,0,0.77,0,0.02,0,cluster0
83,NN,MeLza_17,0,0.96,0,0.02,0,0.02,0,0,0,0,cluster0
84,NN,SevenEasyWays,0,0.88,0,0,0,0,0,0,0.12,0,cluster0
85,NN,RaceLies,0,0,0,0,0.33,0,0.58,0.08,0,0,cluster4
86,NN,TikeGooden,0.13,0.8,0,0,0,0,0,0.07,0,0,cluster0
87,NN,CheennyC,0.6,0,0,0,0,0,0,0,0,0.38,cluster3
88,NN,_NYOx,0.41,0,0.03,0.49,0,0,0,0.07,0,0,cluster4
89,NN,wheresmyCARlos,0.53,0.33,0,0,0,0,0.02,0.12,0,0,cluster3
90,NN,WlassM,0,0,0.18,0,0.78,0,0,0,0,0,cluster1
91,NN,Saamhmz,0,0,1,0,0,0,0,0,0,0,cluster4
92,NN,owen_main,0.25,0.74,0,0,0,0,0,0.02,0,0,cluster0
93,NN,ARTORICAL,0.12,0.37,0.05,0,0,0.01,0.32,0,0.09,0.02,cluster0
94,NN,brilicarixx,0.84,0,0.02,0,0,0,0.01,0.09,0.03,0,cluster3
95,NN,LostAtSea96,0.93,0,0,0,0,0,0,0.07,0,0,cluster3
96,NN,freudianquips,0.76,0.08,0,0,0,0,0.07,0,0.07,0,cluster0
97,N,D_Banx,0.35,0.19,0,0,0,0,0,0.44,0,0,cluster3
98,NN,FaiiFanism,0.05,0.03,0.07,0,0,0.04,0.03,0.03,0,0.74,cluster4
99,NN,CandisHooley,1,0,0,0,0,0,0,0,0,0,cluster3
100,NN,imbackUmbach,0.88,0.08,0,0,0,0,0,0.01,0,0,cluster3
101,NN,TitosTweets,0.17,0.77,0,0,0,0,0,0.06,0,0,cluster0
102,NN,ovidiuebufnila,0.14,0.02,0.01,0,0,0.01,0.03,0,0.43,0.35,cluster4
103,NN,NareshI87476843,0,0.1,0,0.14,0,0.56,0,0,0,0.19,cluster4
104,NN,Lindouush_,0,0,0.97,0,0.03,0,0,0,0,0,cluster4
105,NN,DawayneGadis,0.63,0.06,0,0,0,0,0,0.29,0.01,0,cluster3
106,NN,Missus_Johnson,0.5,0.5,0,0,0,0,0,0,0,0,cluster0
107,NN,rhylie_pantts,0.9,0.03,0,0,0,0,0.02,0.02,0.01,0,cluster3
108,NN,danaalarbeed_,0.96,0,0,0,0,0,0,0.03,0,0,cluster3
109,NN,syqinnygenes,0.69,0.16,0.03,0.03,0,0,0.02,0,0.03,0.02,cluster3
110,NN,wana35584931,0,0.06,0,0,0,0,0.9,0,0,0,cluster0
111,NN,political_ppl,0.13,0.16,0,0,0,0,0.14,0,0.57,0,cluster4
112,NN,mr_solivigant,0.27,0.1,0,0,0,0,0.39,0,0.24,0,cluster0
113,NN,ashishkelo,0,0,0,0,0,0,0.99,0,0,0.01,cluster0
114,NN,VennStRecords,0.14,0.84,0,0,0,0,0,0,0,0,cluster0
115,NN,dbigmark,0,0.94,0,0,0,0,0.06,0,0,0,cluster0
116,NN,sailonnarry,0.35,0.21,0.37,0,0,0,0,0.02,0,0.05,cluster4
117,NN,OSimoka,0.01,0.4,0.03,0.05,0,0.03,0.36,0.03,0.02,0.06,cluster0
118,NN,G_Amber,0.23,0.09,0.62,0,0,0,0.05,0,0,0,cluster4
119,NN,07307jcsc,0,0,0,0,1,0,0,0,0,0,cluster1
120,NN,amerr_aref,0.46,0.15,0,0.29,0,0,0.07,0,0,0.01,cluster4
121,NN,aida_almiron,0.03,0,0,0.01,0.96,0,0,0,0,0,cluster1
122,NN,L_PVCO,0.3,0.47,0,0,0,0,0,0.2,0.02,0,cluster0
123,NN,CarlaA_13,0,0,0,0,0.99,0,0,0,0,0,cluster1
124,NN,Rwan_alshehri83,0.47,0,0,0,0,0,0.47,0,0,0,cluster0
125,NN,Anna8x8,0.89,0.03,0.05,0.01,0,0,0,0,0,0.02,cluster3
126,NN,DayleGifford,0.44,0.56,0,0,0,0,0,0,0,0,cluster0
127,NN,norma_dunham,0.03,0,0,0,0,0.01,0.94,0,0,0,cluster0
128,NN,HanFreakinSolo,0.56,0.14,0,0,0,0,0.17,0,0.12,0,cluster0
129,N,longliveniya,0.6,0.02,0,0,0,0,0.04,0.34,0,0,cluster3
130,NN,ItsSubject,0.31,0.26,0,0,0,0.06,0.11,0.26,0.01,0,cluster2
131,NN,UpasanaGagan,0.28,0,0,0,0,0.57,0.01,0,0.04,0.1,cluster4
132,NN,nokidrauhls,0.56,0.06,0.13,0,0.05,0,0,0.02,0,0.18,cluster4
133,N,DapperDonDevin,0.51,0.06,0,0,0,0,0.05,0.37,0.01,0,cluster3
134,NN,__bartonn,0.92,0.07,0,0,0,0,0,0,0,0,cluster3
135,NN,boobearluvx,0.43,0.38,0.09,0.02,0,0.03,0,0.02,0,0.03,cluster0
136,NN,vaalouuz,0,0,1,0,0,0,0,0,0,0,cluster4
137,NN,PoloVargas_3,0.33,0.64,0,0,0,0,0.02,0,0,0,cluster0
138,NN,MorenaCardella,0,0,0,0,1,0,0,0,0,0,cluster1
139,NN,DarkheartUnique,0.83,0.04,0,0,0,0,0.1,0,0,0,cluster3
140,NN,jordangroeningx,0.98,0.01,0,0,0,0,0,0,0,0,cluster3
141,N,TayskiOutInCali,0,0.13,0,0,0,0,0,0.87,0,0,cluster2
142,NN,Lifefactss__,0.72,0,0,0,0,0,0.15,0,0.13,0,cluster0
143,NN,LnceTbfnda,0.17,0.2,0,0.04,0,0,0,0,0,0.58,cluster4
144,NN,SillyLili_11,0.85,0.12,0,0,0,0,0,0.04,0,0,cluster3
145,NN,Mhalia11,0.18,0.01,0,0,0,0,0,0,0,0.8,cluster4
146,NN,Jenn_Benn,0.43,0.42,0,0,0,0,0.03,0,0.08,0.02,cluster0
147,NN,StSinner1,0,0.36,0.01,0,0.2,0.04,0.34,0,0,0.03,cluster4
148,NN,MohdAriadi,0.61,0,0,0.36,0,0,0.02,0,0,0,cluster4
149,NN,wh__destiny,0.24,0,0,0,0,0,0,0,0,0.75,cluster4
150,NN,SnipinSully,0.29,0.65,0,0,0,0,0.01,0.05,0,0,cluster0
151,NN,katiagalicia,0.47,0.39,0.08,0,0,0,0,0,0,0.05,cluster3
152,NN,Flavviie_,1,0,0,0,0,0,0,0,0,0,cluster3
153,N,j_Chivas29,0.48,0.09,0,0,0.03,0,0.04,0.35,0,0,cluster2
154,NN,herr_rockn,0.12,0.25,0.03,0.04,0,0.05,0.4,0,0.1,0.02,cluster4
155,NN,ChriSaunders,0.79,0.12,0,0,0,0.01,0.04,0.04,0,0,cluster0
156,NN,juancaimarek,0,0,0,0,1,0,0,0,0,0,cluster1
157,NN,mochekke,0.86,0.03,0.01,0,0,0,0.04,0,0.03,0,cluster3
158,NN,cathi_serra,0.9,0.02,0,0,0,0,0,0.07,0,0,cluster3
159,NN,olddouche,0.81,0.05,0,0,0,0,0.05,0.06,0.02,0,cluster3
160,NN,Claire_Ros27,0.15,0.06,0,0,0,0.01,0,0,0,0.77,cluster4
161,NN,T_Rex93a,0.7,0,0,0,0,0,0,0.29,0,0,cluster3
162,NN,ArthaBliss,0.22,0,0.01,0,0,0,0,0,0,0.75,cluster4
163,NN,LaBella_Diamond,0.84,0.08,0,0,0,0,0,0.06,0.02,0,cluster3
164,NN,__RAWood,0.66,0.22,0,0,0,0,0,0.07,0.04,0,cluster3
165,NN,03872trdb,0,0,0,0,1,0,0,0,0,0,cluster1
166,NN,BeneGae,0.41,0.41,0,0.03,0,0,0,0.14,0,0,cluster0
167,NN,RudeMarto,0.11,0,0,0,0.86,0,0,0.02,0,0,cluster1
168,NN,alexa_grant,0.57,0.04,0,0,0,0,0.03,0.32,0.02,0,cluster3
169,NN,unboundpage,0.35,0.29,0.06,0,0,0,0.18,0,0.1,0,cluster0
170,NN,AarynMasangcay,0.75,0.02,0,0,0,0,0,0.21,0.01,0,cluster3
171,NN,Scoarnec2,0,0.12,0.86,0,0.01,0,0,0,0,0,cluster4
172,NN,alvaromontes725,0.05,0.91,0,0,0.04,0,0,0,0,0,cluster1
173,NN,yuka15918010,0.3,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,cluster1
174,NN,Iza_RochaMatos,0.38,0.25,0.1,0,0.05,0,0,0.06,0,0.13,cluster4
175,NN,eddyvera0,0.86,0,0,0,0,0,0,0.13,0,0,cluster3
176,NN,indy_velez,0.7,0.01,0,0,0,0,0,0.29,0,0,cluster3
177,NN,teeacupppp,0.79,0,0,0,0,0,0,0.2,0,0,cluster3
178,NN,arctichowll,0.77,0.03,0.02,0.05,0,0,0,0,0,0.13,cluster3
179,NN,difarmesa,0.01,0,0,0,0.99,0,0,0,0,0,cluster1
180,NN,LesslyDmgz,0.72,0.03,0,0,0.21,0,0,0.03,0,0,cluster1
181,NN,bbcottt,0.84,0,0,0,0,0,0,0.16,0,0,cluster3
182,NN,KathyBunny,0.85,0,0,0,0,0,0,0.15,0,0,cluster3
183,NN,samife101,0.31,0.08,0.39,0,0,0.04,0.06,0,0.13,0,cluster4
184,NN,dreamcastpop,0.8,0.13,0,0,0,0.02,0.03,0.02,0,0,cluster0
185,NN,rafaelkwesley,0,0,0,0,0.95,0,0.04,0,0,0,cluster1
186,NN,WickedAngelLil,0.65,0.07,0,0,0,0.02,0.17,0.01,0.07,0,cluster0
187,NN,hayleymccutie,0.93,0.06,0,0,0,0,0,0,0,0,cluster3
188,NN,EmmaDarch,0.86,0.02,0.01,0,0,0.02,0,0.04,0,0.04,cluster0
189,NN,FriidaaNilsson,0.92,0.04,0,0,0,0,0,0,0,0.02,cluster3
190,NN,glynncharn,0.02,0.97,0,0,0,0,0,0,0,0,cluster0
191,NN,FaZePryZee,0.18,0.22,0,0,0,0.45,0,0.14,0,0,cluster4
192,NN,followme_ok,0,0,0,0,0,0,0.99,0,0,0,cluster0
193,NN,Nick_Pettigrew,0.4,0.38,0.01,0,0,0,0.14,0,0.06,0,cluster0
194,NN,akshay_chauhan,0.33,0.3,0.01,0.01,0,0,0.23,0.03,0,0.09,cluster0
195,NN,Wimwanud,0.89,0,0.04,0,0,0,0.03,0,0,0.04,cluster3
196,NN,incorrperated,0.75,0.06,0,0,0,0,0.17,0.02,0,0,cluster0
197,NN,Nine_Inch_Beef,0.6,0.08,0,0,0,0,0,0.29,0,0.02,cluster3
198,NN,Lau_deRiiveyra,0,0.03,0,0,0.96,0,0,0,0,0,cluster1
199,NN,EventStylingZA,0,0.06,0.89,0,0,0.03,0.02,0,0,0,cluster4
200,NN,jak_paddy,0.76,0.17,0,0,0,0,0,0.07,0,0,cluster3
201,NN,Dino_Saur1,0.48,0.36,0,0,0,0.01,0.05,0.02,0.07,0,cluster0
202,N,PhatCapBeats,0,0.05,0.02,0.01,0,0.24,0.02,0.66,0,0,cluster2
203,NN,amndlno,0.48,0,0,0,0,0,0,0,0,0.5,cluster4
204,NN,EskimoKeleher,0.2,0.76,0,0,0,0,0.03,0.01,0,0,cluster0
205,NN,katmbenno,0.1,0.86,0,0,0,0,0.02,0,0,0,cluster0
206,NN,norihure_ne8949,0.02,0.02,0.02,0.64,0.02,0.02,0.02,0.02,0.02,0.23,cluster4
207,NN,udaqueness,0.36,0.01,0.1,0,0.02,0,0.47,0,0,0.04,cluster4
208,NN,ellie_keller21,0.97,0.02,0,0,0,0,0,0,0,0,cluster3
209,NN,EnrichettaWarde,1,0,0,0,0,0,0,0,0,0,cluster3
210,NN,akash_emraan,0.23,0.16,0,0.06,0,0.03,0.04,0,0,0.48,cluster4
211,NN,kyunggaysoo,0,0,0.35,0.47,0.1,0,0,0,0,0.08,cluster4
212,NN,KingTBerry,0.24,0.46,0,0,0,0,0.02,0.27,0,0,cluster0
213,N,stephmarylee,0.55,0,0,0,0,0,0,0.45,0,0,cluster3
214,N,zaefromda9,0.28,0,0,0,0,0,0,0.72,0,0,cluster2
215,NN,MadMacdonald,0.86,0.09,0,0,0,0,0.02,0.02,0,0,cluster3
216,NN,IAintShxt_Yet,0.63,0.04,0,0,0,0,0.09,0.12,0.1,0,cluster0
217,NN,_chelllle_,0.72,0.24,0,0,0,0,0,0,0.02,0,cluster3
218,NN,sabrinamurphy_,0.82,0.08,0,0,0,0,0,0.08,0,0,cluster3
219,NN,valentinaaaaaxx,0.78,0.02,0.12,0,0,0,0,0.07,0,0,cluster3
220,NN,Live_Love_Nice,0.92,0,0.02,0,0,0,0,0.07,0,0,cluster3
221,NN,rentaterminal,0,0.05,0,0,0.02,0.02,0.91,0,0,0,cluster4
222,NN,TrolleyMaushi,0.13,0.22,0,0,0,0,0,0,0,0.65,cluster4
223,NN,samiran1109,0,0.13,0.03,0,0,0,0.81,0,0.01,0.01,cluster0
224,NN,ijatsnake,0.52,0.02,0,0.16,0,0,0.19,0.09,0.03,0,cluster4
225,N,LakeshaAntoniew,0,0,0,0,0,0,0,1,0,0,cluster2
226,NN,amit_chodhary,0.19,0,0,0,0,0.66,0,0,0.07,0.08,cluster4
227,NN,mohammed7579,0,0.9,0,0,0,0,0,0,0,0.09,cluster0
228,NN,ZombieBabyyy,0.75,0,0,0,0,0,0,0.25,0,0,cluster3
229,NN,Louiestowell,0.48,0.2,0,0,0,0,0.11,0,0.21,0,cluster0
230,NN,teamleaa,0.04,0.49,0.06,0,0,0.02,0,0,0,0.38,cluster4
231,NN,AlexandraTihane,0.8,0,0.05,0,0,0,0.11,0.03,0,0,cluster3
232,NN,Liizzzzyyy,0.46,0.02,0.06,0.38,0,0,0,0.05,0,0.03,cluster4
233,NN,IntensiveAIM,0,0.77,0,0.06,0,0.03,0,0.11,0,0.02,cluster0
234,NN,yuukiandryuunen,0.42,0.14,0.26,0,0,0.03,0.08,0,0,0.06,cluster4
235,NN,foneribby,0.28,0.65,0,0,0,0.02,0.03,0,0,0,cluster0
236,NN,BilyRobledo,0,0.16,0.06,0,0.2,0.03,0.5,0,0.05,0,cluster4
237,N,LadiiYams,0.32,0,0,0,0,0,0,0.67,0,0,cluster2
238,NN,carina_andrada,0,0,0,0,1,0,0,0,0,0,cluster1
239,NN,pete_stanley,0.19,0.74,0,0,0,0,0.04,0,0,0,cluster0
240,NN,davidclee818,0.52,0,0.28,0,0,0,0,0,0.17,0,cluster4
241,N,AnonDitto,0.49,0.08,0,0,0,0,0.07,0.35,0,0,cluster3
242,NN,JoachimBeckh,0,0,0.08,0,0,0,0.91,0,0,0,cluster0
243,NN,dmfa20915,0,0,0,0,1,0,0,0,0,0,cluster1
244,NN,Dukong_taeng,0.2,0.08,0.1,0.07,0,0,0.03,0.03,0,0.47,cluster4
245,NN,Fr3nchfry1,0.81,0,0,0,0,0,0.01,0.15,0.02,0,cluster3
246,NN,ClusterCOD,0.25,0.53,0,0.02,0,0.02,0,0.17,0,0,cluster0
247,NN,nouranatasha,0.67,0,0,0.29,0,0,0,0.01,0,0.03,cluster4
248,NN,karaagetencho,0,0.97,0,0,0,0,0,0,0,0.02,cluster0
249,NN,Fuuggz,0.98,0,0,0,0,0,0,0.01,0,0,cluster3
250,NN,02633gnlc,0,0,0,0,1,0,0,0,0,0,cluster1
251,NN,Thaisbfelippe,0.66,0,0.06,0,0.13,0,0,0.07,0,0.08,cluster1
252,NN,formvalidation,0.02,0.04,0,0.02,0,0,0.57,0,0.34,0,cluster0
253,NN,iammaf_,0.17,0.19,0,0.54,0,0,0.06,0.03,0,0.02,cluster4
254,NN,shilah_boo17,0.72,0,0,0.04,0,0,0.16,0.07,0,0,cluster0
255,NN,RichardYoungSt,0.5,0.27,0.01,0,0,0,0.11,0.05,0.05,0,cluster0
256,NN,meganmcgee_,0.96,0,0.01,0,0,0,0,0.02,0,0,cluster3
257,NN,MustWantedMX,0.1,0.14,0.1,0,0.47,0.02,0.05,0,0,0.12,cluster1
258,NN,lillie_stark,0.87,0.02,0.01,0,0,0,0.03,0.06,0,0,cluster3
259,NN,KristieGnar,0.85,0.07,0,0,0,0,0.03,0.04,0,0,cluster3
260,NN,BiskuitOreo,0,0.05,0.12,0.59,0,0,0.04,0,0,0.2,cluster4
261,NN,johnnychronix,0.4,0.3,0.04,0.05,0,0.02,0.11,0.02,0.05,0,cluster0
262,NN,riccardossigeno,0,0.09,0.13,0,0.71,0,0.05,0,0.02,0,cluster1
263,NN,indotix,0,0.03,0,0.96,0,0,0,0,0,0,cluster4
264,NN,Qubammish,0.56,0.1,0.02,0.02,0,0,0.08,0.02,0.18,0,cluster0
265,NN,Christinaaa__xo,0.85,0.1,0.02,0,0,0,0,0,0,0,cluster3
266,NN,CrystalKuehl,0.48,0.43,0.04,0,0,0,0,0,0.02,0.03,cluster0
267,NN,brk_news_now,0,0,0,0,0,0.01,0.99,0,0,0,cluster0
268,NN,_Marseille,0.31,0.36,0.01,0.11,0,0,0.04,0.1,0.03,0.04,cluster3
269,NN,Lesbicanarias,0.18,0.26,0.04,0,0.36,0.01,0.09,0,0.01,0.04,cluster1
270,NN,cindyjuarez6,0.74,0,0.13,0,0,0,0.04,0.07,0.02,0,cluster3
271,NN,breendapillai_,0.87,0,0.09,0.02,0,0,0,0.01,0,0,cluster3
272,NN,erectionchan,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.37,0.01,cluster4
273,NN,_romelie22,0.86,0,0,0,0,0,0,0,0,0.14,cluster3
274,NN,_Telebah,0.83,0,0,0,0,0,0.05,0.11,0,0,cluster3
275,N,CelineDionFans2,0,0,0.06,0,0,0,0,0.76,0,0.19,cluster3
276,N,Tyler_Stunt,0.09,0.22,0,0,0,0,0,0.66,0,0.02,cluster2
277,NN,KendallRegina,0.94,0,0,0,0,0,0,0.06,0,0,cluster3
278,NN,Scottiesls,0.9,0.08,0,0,0,0,0,0.02,0,0,cluster3
279,NN,maryumizme,0.8,0,0,0.13,0,0,0.04,0,0.01,0,cluster3
280,NN,Deluxe_922,0.37,0.24,0,0.02,0,0.17,0.03,0.17,0,0,cluster2
281,NN,DebiSnyder,0.33,0.53,0,0,0,0,0.09,0,0.02,0,cluster0
282,NN,sideSHOWtoma,0.46,0.11,0,0.03,0,0.01,0.18,0.14,0.06,0,cluster0
283,NN,jakevball,0.54,0.29,0,0,0,0,0.03,0.12,0.02,0,cluster3
284,N,Delossantosccp,0.52,0,0,0,0,0,0,0.48,0,0,cluster3
285,NN,kiala3nidad,0.72,0,0.03,0.03,0,0,0,0.02,0,0.2,cluster3
286,NN,MarketThought1,0.04,0.09,0,0.02,0,0,0,0,0.86,0,cluster4
287,NN,LucasGraells,0,0,0,0,0.97,0,0,0.02,0,0,cluster1
288,NN,NaraLeidy,0,0,0,0.02,0.96,0,0.02,0,0,0,cluster1
289,NN,TheJhongTitle,0.79,0,0,0.01,0,0,0,0,0,0.19,cluster3
290,NN,NorpolFootball,0,0.79,0,0,0,0,0.21,0,0,0,cluster0
291,NN,wz_p7,0.03,0.03,0.03,0.03,0.03,0.03,0.47,0.33,0.03,0.03,cluster4
292,NN,Babthorpe,0.49,0.51,0,0,0,0,0,0,0,0,cluster0
293,NN,belieberxx97,0.43,0.31,0.05,0.04,0,0.02,0,0,0,0.16,cluster4
294,NN,Neptbell,0.27,0.37,0.07,0,0.21,0,0.05,0,0,0.03,cluster1
295,NN,PrimateMgmt,0,0,0,0.97,0,0.03,0,0,0,0,cluster4
296,N,gjdhddd,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
297,NN,itslinamarie,0.65,0.28,0,0,0,0.02,0,0.02,0,0.02,cluster0
298,NN,swadeshnews,0,0,0,0,0,0.09,0.9,0,0,0,cluster4
299,NN,lifenutrition,0,0,0,0,0,0,0,0,0.02,0.98,cluster4
300,NN,wiz_ibro,0.21,0,0,0.75,0,0,0,0.04,0,0,cluster4
301,NN,MecitTUFEKCIOLU,0,0,0,0.75,0.21,0,0,0,0,0,cluster4
302,N,__XIXVIII,0.31,0,0,0,0,0,0,0.69,0,0,cluster2
303,NN,Makakaila,0.38,0.15,0,0,0,0,0.34,0,0.12,0,cluster0
304,NN,krohn_dome,0.3,0.45,0,0,0,0,0.13,0,0.08,0,cluster0
305,NN,i_hjoor,0.96,0,0,0.04,0,0,0,0,0,0,cluster3
306,NN,viDhavii_,0,0.08,0,0.92,0,0,0,0,0,0,cluster4
